Date,Close,High,Low,Open,Volume
2015-01-22,16429.125,16443.0421,16422.1665,16422.1665,50.0
2015-01-23,16596.127,16763.132,16582.2099,16763.132,429.0
2015-01-26,16623.9629,16623.9629,16429.1236,16429.1236,36.0
2015-01-27,16832.7188,16846.6358,16777.0504,16777.0504,378.0
2015-01-28,16811.8418,16811.8418,16658.7538,16658.7538,121.0
2015-01-29,16575.252,16790.9668,16575.252,16728.3399,293.0
2015-01-30,16644.8379,16839.6771,16637.8793,16832.7186,2409.0
2015-02-02,16540.4609,16582.2122,16352.5802,16408.2486,21.0
2015-02-03,16248.2012,16561.3357,16248.2012,16561.3357,85.0
2015-02-04,16554.375,16630.919,16373.4529,16373.4529,186.0
2015-02-05,16540.4609,16874.4711,16429.1242,16554.378,3120.0
2015-02-06,16526.543,16644.8382,16526.543,16644.8382,105.0
2015-02-09,16630.9199,16672.6712,16526.5418,16665.7126,620.0
2015-02-10,16721.3848,16721.3848,16623.9651,16700.5091,437.0
2015-02-12,16985.8066,17048.4335,16964.931,16964.931,2977.0
2015-02-13,16909.2637,16985.8077,16909.2637,16957.9735,187.0
2015-02-16,16944.0547,16985.806,16930.1376,16985.806,215.0
2015-02-17,17020.5977,17020.5977,16846.6341,16867.5097,484.0
2015-02-18,17278.0645,17285.023,17152.8107,17152.8107,602.0
2015-02-19,17361.5664,17368.5249,17298.9395,17298.9395,310.0
2015-02-20,17458.9863,17514.6547,17389.4009,17389.4009,322.0
2015-02-23,17535.5312,17695.5778,17500.7385,17625.9923,353.0
2015-02-24,17625.9902,17625.9902,17431.151,17570.3219,618.0
2015-02-25,17563.3652,17702.5361,17542.4896,17702.5361,408.0
2015-02-26,17674.7031,17688.6202,17549.4493,17549.4493,136.0
2015-02-27,17619.0332,17813.8724,17605.1161,17813.8724,237.0
2015-03-02,17681.6602,17723.4114,17660.7845,17716.4529,176.0
2015-03-03,17758.2051,17813.8734,17660.7855,17806.9149,325.0
2015-03-04,17653.8262,17723.4116,17500.7382,17723.4116,152.0
2015-03-05,17556.4082,17605.118,17535.5326,17570.3253,273.0
2015-03-06,17779.0801,17779.0801,17591.1994,17591.1994,206.0
2015-03-09,17730.3711,17792.998,17688.6198,17792.998,383.0
2015-03-10,17799.957,17925.2108,17799.957,17813.8741,338.0
2015-03-11,17751.248,17820.8335,17660.787,17660.787,166.0
2015-03-12,17987.8359,18001.753,17779.0796,17779.0796,195.0
2015-03-13,18127.0059,18140.9229,18078.2961,18127.0059,489.0
2015-03-16,18043.5059,18099.1742,17980.879,18099.1742,322.0
2015-03-17,18133.9668,18175.7181,18050.4643,18050.4643,266.0
2015-03-18,18266.1777,18280.0948,18085.2556,18127.0069,2650.0
2015-03-19,18161.8008,18300.9717,18022.6299,18259.2204,431.0
2015-03-20,18189.6348,18238.3446,18161.8006,18161.8006,242.0
2015-03-23,18551.4805,18572.3561,18342.7241,18342.7241,784.0
2015-03-24,18433.1836,18593.2301,18398.3909,18551.4788,270.0
2015-03-25,18363.5977,18440.1416,18231.3853,18426.2246,276.0
