Date,Close,High,Low,Open,Volume
2015-01-22,124.3473,124.3473,123.6641,124.3473,323000.0
2015-01-23,125.0306,126.397,125.0306,126.397,180600.0
2015-01-26,125.0306,125.0306,124.3473,124.3473,725000.0
2015-01-27,129.1299,129.1299,126.397,126.397,990600.0
2015-01-28,129.1299,129.1299,127.0802,127.0802,1129500.0
2015-01-29,126.397,127.7635,126.397,127.0803,329200.0
2015-01-30,127.0802,128.4467,127.0802,127.7635,254800.0
2015-02-02,125.7138,125.7138,125.7138,125.7138,306100.0
2015-02-03,125.7138,127.0803,124.3473,127.0803,472100.0
2015-02-04,128.4467,129.8132,126.397,126.397,1395800.0
2015-02-05,129.1299,131.1796,127.7635,129.1299,2218000.0
2015-02-06,131.1796,131.1796,130.4964,130.4964,384900.0
2015-02-09,133.2293,133.2293,131.8628,132.5461,3684600.0
2015-02-10,132.5461,133.2293,131.8628,132.5461,301700.0
2015-02-12,135.279,136.6454,133.9125,133.9125,3697800.0
2015-02-13,136.6455,137.3287,135.9622,135.9622,1368800.0
2015-02-16,140.7448,141.428,137.3286,137.3286,2296800.0
2015-02-17,139.3783,141.428,139.3783,139.3783,807400.0
2015-02-18,143.4777,144.1609,140.7448,140.7448,6437200.0
2015-02-19,146.8938,147.5771,144.1609,144.1609,4129900.0
2015-02-20,146.2106,148.2603,145.5274,148.2603,1812900.0
2015-02-23,144.8441,148.9435,144.1609,148.2603,1788600.0
2015-02-24,145.5274,146.2106,144.161,144.161,3036200.0
2015-02-25,146.2106,146.8939,144.8442,146.8939,3388300.0
2015-02-26,148.2603,148.2603,145.5274,146.2106,5274200.0
2015-02-27,147.577,149.6267,146.8938,149.6267,3303100.0
2015-03-02,146.8938,148.9435,146.2106,148.9435,1296900.0
2015-03-03,146.2106,147.5771,144.8442,147.5771,1145600.0
2015-03-04,143.4777,145.5274,142.7945,145.5274,1263400.0
2015-03-05,144.8441,145.5274,144.1609,144.1609,1649700.0
2015-03-06,148.2603,148.2603,145.5274,146.2106,1136400.0
2015-03-09,147.577,147.577,146.2106,147.577,1270000.0
2015-03-10,144.1609,147.5771,144.1609,147.5771,2016000.0
2015-03-11,144.1609,145.5274,143.4777,143.4777,636700.0
2015-03-12,146.8938,148.2603,145.5274,145.5274,3814600.0
2015-03-13,150.31,150.9932,148.2603,148.2603,2767400.0
2015-03-16,150.9932,153.0429,149.6267,149.6267,1125700.0
2015-03-17,150.31,153.0429,150.31,152.3596,1528500.0
2015-03-18,151.6764,152.3596,149.6267,150.31,1635700.0
2015-03-19,149.6267,151.6764,148.2603,151.6764,1422800.0
2015-03-20,149.6267,150.31,148.2603,148.9435,341900.0
2015-03-23,150.31,150.31,149.6267,150.31,898200.0
2015-03-24,148.9435,150.31,148.2603,149.6267,363400.0
2015-03-25,148.9435,149.6267,148.2603,148.9435,358500.0
2015-03-26,146.2106,148.9435,146.2106,148.2603,453900.0
2015-03-27,146.2106,149.6268,144.8442,147.5771,1034100.0
2015-03-30,147.577,147.577,144.1609,145.5274,1133200.0
2015-03-31,144.1609,148.9435,144.1609,148.2603,680300.0
2015-04-01,144.8441,145.5274,142.7945,144.1609,758100.0
2015-04-02,147.577,148.9435,144.8441,144.8441,927100.0
2015-04-03,146.8938,148.2603,145.5274,147.5771,677900.0
2015-04-06,145.5274,146.2106,144.8442,145.5274,204100.0
2015-04-07,148.9435,149.6267,146.8938,146.8938,833800.0
2015-04-08,149.6267,150.31,148.2603,148.9435,545600.0
2015-04-09,148.2603,149.6268,148.2603,149.6268,193200.0
2015-04-10,147.577,148.9435,147.577,148.2603,243100.0
2015-04-13,146.8938,147.5771,146.8938,147.5771,468000.0
