Date,Close,High,Low,Open,Volume
2015-01-22,12615.4932,12615.4932,12615.4932,12615.4932,5.0
2015-01-23,12702.3916,12702.3916,12702.3916,12702.3916,0.0
2015-01-26,12648.6924,12648.6924,12416.3017,12416.3017,2.0
2015-01-27,12739.9883,12739.9883,12673.5909,12673.5909,12.0
2015-01-28,12839.584,12864.483,12781.4863,12781.4863,159.0
2015-01-29,12759.8252,12759.8252,12759.8252,12759.8252,0.0
2015-01-30,12768.8721,12768.8721,12768.8721,12768.8721,0.0
2015-02-02,12690.1914,12690.1914,12690.1914,12690.1914,40.0
2015-02-03,12656.9902,12939.1789,12656.9902,12939.1789,6.0
2015-02-04,12615.4932,12690.1902,12615.4932,12615.4932,5.0
2015-02-05,12665.291,12665.291,12665.291,12665.291,1.0
2015-02-06,12656.2441,12656.2441,12656.2441,12656.2441,0.0
2015-02-09,12673.5918,12673.5918,12656.9925,12656.9925,16.0
2015-02-10,12800.0781,12800.0781,12800.0781,12800.0781,0.0
2015-02-12,12822.9854,12864.4837,12806.386,12822.9854,245.0
2015-02-13,12905.9844,12905.9844,12905.9844,12905.9844,10.0
2015-02-16,13005.5781,13005.5781,12988.9788,12988.9788,6.0
2015-02-17,12930.8809,12930.8809,12897.6822,12914.2815,42.0
2015-02-18,13055.376,13055.376,13055.376,13055.376,1.0
2015-02-19,13113.4736,13113.4736,12955.78,12955.78,9.0
2015-02-20,13113.4736,13113.4736,13113.4736,13113.4736,9.0
2015-02-23,13279.4678,13279.4678,13171.5721,13279.4678,27.0
2015-02-24,13304.3672,13304.3672,13171.5725,13171.5725,12.0
2015-02-25,13320.9658,13320.9658,13320.9658,13320.9658,22.0
2015-02-26,13462.0596,13528.4569,13395.6622,13437.1606,40.0
2015-02-27,13669.5527,13669.5527,13486.96,13486.96,11.0
2015-03-02,13694.4502,13711.0495,13594.8542,13669.5512,22.0
2015-03-03,13644.6514,13976.638,13644.6514,13976.638,115.0
2015-03-04,13470.3594,13644.6524,13387.3627,13644.6524,25.0
2015-03-05,13652.9531,13652.9531,13561.6568,13561.6568,15.0
2015-03-06,13711.0498,13719.3495,13677.8511,13677.8511,29.0
2015-03-09,13619.752,13619.752,13520.156,13520.156,151.0
2015-03-10,13496.9189,13496.9189,13496.9189,13496.9189,0.0
2015-03-11,13412.2607,13511.8567,13412.2607,13412.2607,115.0
2015-03-12,13661.2529,13661.2529,13578.2563,13578.2563,16.0
2015-03-13,13661.2529,13735.9499,13661.2529,13735.9499,50.0
2015-03-16,13794.0469,13794.0469,13694.4509,13694.4509,34.0
2015-03-17,13794.0469,13794.0469,13785.7472,13794.0469,94.0
2015-03-18,14026.4365,14026.4365,14026.4365,14026.4365,1.0
2015-03-19,14192.4297,14458.019,14184.13,14399.9213,65.0
2015-03-20,14184.1279,14184.1279,14184.1279,14184.1279,1.0
2015-03-23,14109.4326,14184.1296,14101.133,14184.1296,387.0
2015-03-24,14142.6328,14142.6328,14142.6328,14142.6328,20.0
2015-03-25,14180.1465,14180.1465,14180.1465,14180.1465,0.0
2015-03-26,14034.7363,14034.7363,13877.0427,13877.0427,74.0
2015-03-27,13943.4404,13943.4404,13885.3428,13885.3428,21.0
2015-03-30,13943.4404,13943.4404,13943.4404,13943.4404,1.0
2015-03-31,14109.4326,14134.3316,14109.4326,14134.3316,77.0
2015-04-01,13951.7412,13951.7412,13951.7412,13951.7412,1.0
2015-04-02,13960.041,13960.041,13960.041,13960.041,3.0
2015-04-03,14067.9365,14067.9365,13984.9398,13993.2395,4.0
2015-04-06,14175.832,14233.9297,14150.933,14150.933,3.0
2015-04-07,14458.0186,14474.6179,14275.4259,14275.4259,75.0
2015-04-08,14383.3203,14383.3203,14383.3203,14383.3203,2.0
2015-04-09,14541.0146,14673.8093,14507.816,14507.816,84.0
2015-04-10,14740.208,14740.208,14723.6087,14740.208,9.0
2015-04-13,14731.9082,14731.9082,14731.9082,14731.9082,235.0
2015-04-14,14682.1113,14831.5053,14682.1113,14831.5053,57.0
2015-04-15,14856.4033,14864.703,14856.4033,14864.703,21.0
2015-04-16,14922.8018,14922.8018,14848.1048,14906.2024,23.0
2015-04-17,14790.0068,14864.7038,14673.8115,14707.0102,119.0
2015-04-20,14607.4141,14698.7104,14565.9157,14565.9157,23.0
2015-04-21,14731.9082,14856.4032,14698.7095,14698.7095,5.0
2015-04-22,14897.9014,14897.9014,14897.9014,14897.9014,1.0
2015-04-23,14864.7041,14939.4011,14864.7041,14939.4011,17.0
2015-04-24,14831.5039,14831.5039,14831.5039,14831.5039,25.0
