Date,Close,High,Low,Open,Volume
2015-01-22,12942.4502,13022.1233,12924.7451,13022.1233,5.0
2015-01-23,12995.5645,13084.0901,12951.3016,12951.3016,54.0
2015-01-26,12960.1572,12960.1572,12951.3047,12951.3047,2.0
2015-01-27,13278.8496,13278.8496,13154.9137,13154.9137,10.0
2015-01-28,13172.6172,13172.6172,13172.6172,13172.6172,30.0
2015-01-29,13131.2764,13131.2764,13131.2764,13131.2764,0.0
2015-01-30,13106.3115,13106.3115,13106.3115,13106.3115,0.0
2015-02-02,12977.8604,12995.5655,12977.8604,12995.5655,4.0
2015-02-03,12853.9258,13243.4387,12853.9258,13243.4387,5.0
2015-02-04,13066.3877,13101.798,12986.7146,12986.7146,4.0
2015-02-05,12889.335,13084.0914,12889.335,13084.0914,12.0
2015-02-06,12898.1885,12898.1885,12898.1885,12898.1885,2.0
2015-02-09,13048.6816,13163.765,13048.6816,13163.765,501.0
2015-02-10,12907.04,12924.7452,12907.04,12924.7452,431.0
2015-02-12,13234.5869,13269.9972,13172.6189,13269.9972,289.0
2015-02-13,13225.7354,13225.7354,13225.7354,13225.7354,10.0
2015-02-16,13243.4385,13296.5539,13243.4385,13287.7013,103.0
2015-02-17,13296.5537,13296.5537,13146.0601,13278.8486,508.0
2015-02-18,13544.4258,13544.4258,13402.7847,13402.7847,69.0
2015-02-19,13730.3291,13730.3291,13615.2457,13721.4765,144.0
2015-02-20,13818.8535,13827.7061,13810.001,13810.001,38.0
2015-02-23,13801.1484,13933.9369,13783.4433,13827.7061,120.0
2015-02-24,13889.6768,13889.6768,13641.8049,13686.0677,12.0
2015-02-25,13960.4951,13960.4951,13801.1489,13960.4951,91.0
2015-02-26,13933.9385,13933.9385,13721.4769,13889.6756,44.0
2015-02-27,13925.0869,13925.0869,13898.5292,13898.5292,11.0
2015-03-02,13951.6455,14084.434,13951.6455,13995.9083,48.0
2015-03-03,14066.7266,14093.2843,14066.7266,14093.2843,4.0
2015-03-04,13863.1182,14031.3169,13863.1182,14031.3169,129.0
2015-03-05,13969.3506,13978.2032,13845.4146,13845.4146,33.0
2015-03-06,14075.5801,14075.5801,14040.1698,14040.1698,2.0
2015-03-09,14181.8096,14181.8096,14137.5467,14164.1044,63.0
2015-03-10,14013.6113,14181.8101,14013.6113,14181.8101,66.0
2015-03-11,14093.2832,14199.514,13898.5268,13898.5268,40.0
2015-03-12,14155.2529,14208.3683,14049.0221,14049.0221,31.0
2015-03-13,14456.2412,14562.472,14394.2732,14562.472,229.0
2015-03-16,14482.7969,14518.2071,14482.7969,14518.2071,74.0
