Date,Close,High,Low,Open,Volume
2015-01-22,14217.3662,14323.2836,14201.0712,14249.9562,267.0
2015-01-23,14135.8926,14331.4323,14111.4501,14331.4323,163.0
2015-01-26,14078.8594,14119.5968,14062.5644,14062.5644,110.0
2015-01-27,14421.0527,14421.0527,14209.2181,14209.2181,208.0
2015-01-28,14518.8213,14567.7062,14364.019,14445.4939,214.0
2015-01-29,14722.5137,14755.1036,14453.6465,14453.6465,178.0
2015-01-30,14934.3477,15072.855,14869.1677,14877.3152,4214.0
2015-02-02,14934.3477,14934.3477,14641.038,14787.6929,239.0
2015-02-03,14738.8066,14934.3464,14689.9217,14934.3464,142.0
2015-02-04,14771.3955,14885.4603,14771.3955,14787.6905,56.0
2015-02-05,14738.8066,14787.6916,14665.4792,14787.6916,70.0
2015-02-06,14763.249,14820.2814,14665.4792,14665.4792,33.0
2015-02-09,14877.3125,14901.755,14828.4276,14861.0175,114.0
2015-02-10,14820.2783,14942.4906,14730.656,14828.4258,678.0
2015-02-12,15105.4404,15170.6203,15007.6706,15015.8181,431.0
2015-02-13,15072.8535,15113.591,14934.3462,15105.4435,204.0
2015-02-16,14983.2285,15072.8509,14828.4263,15072.8509,576.0
2015-02-17,14934.3477,14934.3477,14820.2828,14909.9052,358.0
2015-02-18,15056.5557,15056.5557,14918.0484,14918.0484,148.0
2015-02-19,15211.3564,15219.5039,15072.8492,15072.8492,104.0
2015-02-20,15227.6553,15235.8028,15162.4754,15195.0653,127.0
2015-02-23,15317.2744,15358.0118,15186.9146,15186.9146,303.0
2015-02-24,15358.0166,15358.0166,15162.4769,15235.8043,177.0
2015-02-25,15382.4561,15390.6035,15358.0136,15382.4561,116.0
2015-02-26,15455.7822,15480.2247,15382.4548,15398.7498,151.0
2015-02-27,15463.9316,15618.7339,15439.4892,15618.7339,419.0
2015-03-02,15626.8818,15683.9143,15488.3745,15561.7019,495.0
2015-03-03,15952.7822,15969.0772,15716.5051,15797.9799,389.0
2015-03-04,15977.2217,15977.2217,15806.1245,15952.7792,442.0
2015-03-05,16278.6836,16294.9786,15977.2265,15977.2265,910.0
2015-03-06,16702.3477,16743.0851,16400.8906,16400.8906,1529.0
2015-03-09,16319.4189,16702.3509,16286.829,16702.3509,1943.0
2015-03-10,16278.6836,16506.8133,16132.0288,16417.1909,2017.0
2015-03-11,16457.9238,16490.5138,16237.9417,16237.9417,227.0
2015-03-12,16637.1699,16702.3498,16457.9252,16539.4001,962.0
2015-03-13,16555.6953,16759.3825,16555.6953,16759.3825,760.0
2015-03-16,16303.126,16539.4032,16246.0936,16539.4032,647.0
2015-03-17,16376.4502,16417.1876,16221.6479,16392.7452,779.0
2015-03-18,16629.0234,16629.0234,16417.1887,16417.1887,2391.0
2015-03-19,16531.2539,16620.8763,16327.5667,16620.8763,593.0
2015-03-20,16498.6621,16498.6621,16417.1872,16417.1872,200.0
2015-03-23,16946.7773,16979.3673,16498.6654,16498.6654,2101.0
2015-03-24,17199.3457,17924.4721,16946.7736,16979.3635,1514.0
2015-03-25,17077.1328,17272.6725,16946.773,17272.6725,895.0
2015-03-26,16791.9707,16995.6579,16702.3483,16938.6255,669.0
2015-03-27,16751.2344,16963.0691,16620.8746,16783.8243,519.0
2015-03-30,16791.9707,16849.0031,16645.3159,16775.6757,161.0
2015-03-31,16694.2051,17085.2846,16694.2051,16881.5973,271.0
2015-04-01,16343.8604,16661.6124,16205.3531,16661.6124,854.0
2015-04-02,16392.748,16490.5179,16262.3882,16262.3882,220.0
2015-04-03,16449.7793,16490.5167,16311.272,16490.5167,233.0
2015-04-06,16498.6621,16498.6621,16311.2699,16311.2699,287.0
2015-04-07,16547.5469,16571.9893,16498.662,16498.662,172.0
2015-04-08,16800.1211,16857.1535,16620.8763,16686.0563,666.0
2015-04-09,16971.2148,17093.4271,16800.1176,16800.1176,745.0
2015-04-10,16873.4473,17191.1993,16791.9724,17109.7244,2033.0
2015-04-13,16751.2344,16849.0042,16710.4969,16849.0042,468.0
2015-04-14,16759.3789,16800.1163,16702.3465,16783.8214,321.0
2015-04-15,16588.2852,16775.6774,16547.5477,16759.3824,901.0
2015-04-16,16620.875,16620.875,16376.4504,16588.285,1704.0
2015-04-17,16555.6953,16653.4652,16466.0729,16620.8752,461.0
2015-04-20,16580.1367,16734.939,16417.187,16417.187,252.0
2015-04-21,16800.1211,16889.7435,16588.2864,16588.2864,143.0
2015-04-22,16922.3301,16946.7725,16865.2977,16946.7725,172.0
2015-04-23,17003.8066,17508.9509,16881.5943,16946.7742,905.0
2015-04-24,16889.7422,16979.3646,16734.9399,16881.5947,283.0
2015-04-27,16865.2988,16889.7413,16759.3815,16889.7413,50.0
2015-04-28,16775.6758,16963.068,16775.6758,16963.068,49.0
2015-04-30,16449.7793,16800.1213,16417.1893,16800.1213,1116.0
2015-05-01,16506.8125,16523.1075,16303.1253,16303.1253,576.0
2015-05-07,16319.4189,16563.8436,16303.124,16539.4011,482.0
2015-05-08,16294.9785,16376.4534,16294.9785,16352.0109,358.0
2015-05-11,16466.0703,16539.3977,16327.563,16327.563,270.0
2015-05-12,16360.1533,16441.6282,16254.236,16343.8583,600.0
2015-05-13,16400.8906,16400.8906,16262.3834,16360.1532,60.0
2015-05-14,16327.5654,16441.6303,16278.6805,16433.4828,351.0
2015-05-15,16433.4824,16441.6299,16319.4176,16441.6299,19.0
2015-05-18,16433.4824,16433.4824,16360.155,16433.4824,82.0
2015-05-19,16523.1035,16702.3482,16523.1035,16531.251,759.0
2015-05-20,16694.2051,16897.8923,16694.2051,16734.9425,615.0
2015-05-21,16808.2676,16849.005,16710.4977,16849.005,174.0
2015-05-22,16726.7949,16849.0073,16547.5502,16849.0073,430.0
2015-05-25,16767.5293,16783.8243,16539.3996,16620.8745,1233.0
2015-05-26,16637.1699,16816.4147,16637.1699,16816.4147,311.0
2015-05-27,16629.0234,16783.8257,16596.4335,16783.8257,1432.0
2015-05-28,16653.4648,16710.4973,16637.1699,16702.3498,69.0
2015-05-29,16604.5801,16702.3499,16604.5801,16694.2024,240.0
2015-06-01,16702.3477,16702.3477,16392.7432,16604.5778,604.0
2015-06-02,16783.8281,16783.8281,16702.3532,16702.3532,253.0
2015-06-03,16694.2051,16783.8275,16490.5179,16783.8275,349.0
2015-06-04,16620.875,16694.2024,16563.8426,16694.2024,244.0
2015-06-05,16555.6953,16604.5802,16457.9255,16604.5802,218.0
2015-06-08,16482.3691,16620.8764,16466.0742,16620.8764,323.0
2015-06-09,16335.7148,16457.9272,16335.7148,16457.9272,720.0
2015-06-10,16319.4189,16376.4514,16254.239,16319.4189,940.0
2015-06-11,16441.6289,16457.9239,16286.8267,16294.9741,208.0
2015-06-12,16539.3984,16547.5459,16466.0711,16506.8085,136.0
2015-06-15,16547.5469,16547.5469,16433.4821,16466.072,131.0
2015-06-16,16457.9238,16555.6937,16457.9238,16555.6937,77.0
2015-06-17,16498.6621,16498.6621,16433.4822,16466.0722,208.0
2015-06-18,16457.9238,16523.1037,16433.4814,16433.4814,160.0
2015-06-19,16441.6289,16539.3988,16417.1864,16457.9239,228.0
2015-06-22,16686.0547,16686.0547,16474.22,16474.22,92.0
2015-06-23,16881.5957,16881.5957,16702.351,16710.4984,296.0
2015-06-24,16946.7773,17077.1372,16840.86,17077.1372,246.0
2015-06-25,16938.6289,16946.7764,16881.5965,16946.7764,111.0
2015-06-26,16930.4785,17011.9534,16865.2986,16946.7735,335.0
2015-06-29,16457.9238,16734.9384,16213.4992,16702.3484,928.0
2015-06-30,16596.4297,16677.9046,16457.9224,16457.9224,165.0
2015-07-01,16604.5801,16677.9075,16474.2203,16612.7276,382.0
2015-07-02,16930.4785,16930.4785,16620.874,16620.874,200.0
2015-07-03,16889.7422,16963.0696,16857.1522,16946.7746,371.0
2015-07-06,16800.1211,16971.2184,16702.3512,16865.301,1762.0
2015-07-07,17109.7266,17134.169,16800.122,16800.122,683.0
2015-07-08,16824.5586,17142.3105,16808.2636,17142.3105,590.0
2015-07-09,16629.0234,16783.8257,16278.6814,16783.8257,2887.0
2015-07-10,16824.5586,17068.9832,16767.5262,16783.8212,657.0
2015-07-13,16816.4141,16946.7739,16645.3168,16873.4465,1321.0
2015-07-14,17011.9531,17109.723,16906.0358,16906.0358,3590.0
2015-07-15,17598.5742,17631.5304,17252.5348,17252.5348,1128.0
2015-07-16,17664.4844,17796.3089,17598.5721,17598.5721,1194.0
2015-07-17,17623.291,17779.8326,17615.052,17779.8326,398.0
2015-07-21,17952.8535,17952.8535,17664.4874,17664.4874,889.0
2015-07-22,17919.8984,17944.6155,17870.4642,17870.4642,363.0
2015-07-23,18035.2441,18084.6783,17878.7025,17878.7025,832.0
2015-07-24,18059.959,18092.9151,18002.2858,18068.198,477.0
2015-07-27,17788.0703,18043.4803,17351.4016,18043.4803,495.0
2015-07-28,17565.6191,17738.6388,17392.5994,17474.9898,470.0
2015-07-29,17697.4434,17788.0727,17656.2482,17788.0727,115.0
2015-07-30,17656.25,17713.9232,17606.8158,17713.9232,92.0
2015-07-31,17573.8574,17590.3355,17557.3794,17557.3794,331.0
2015-08-03,17903.418,17928.1351,17573.8567,17573.8567,727.0
2015-08-04,18529.582,18529.582,17961.0889,17961.0889,2539.0
2015-08-05,18653.1699,18653.1699,18373.0428,18529.5844,862.0
2015-08-06,18644.9297,18859.1445,18595.4955,18595.4955,931.0
2015-08-07,18364.8027,18554.3005,18125.8708,18554.3005,597.0
2015-08-10,18480.1523,18537.8256,18208.2642,18208.2642,92.0
2015-08-11,18455.4316,18537.822,18208.2607,18537.822,546.0
2015-08-12,18331.8457,18438.9531,18298.8896,18438.9531,127.0
2015-08-13,18546.0645,18546.0645,18208.2641,18208.2641,459.0
2015-08-14,18496.627,18579.0173,18422.4757,18480.1489,103.0
2015-08-17,18661.4082,18735.5595,18620.213,18620.213,1810.0
2015-08-18,18867.3848,18900.3409,18735.5602,18735.5602,853.0
2015-08-19,18710.8438,18859.1463,18710.8438,18859.1463,480.0
2015-08-20,18455.4316,18710.8416,18373.0413,18537.822,170.0
2015-08-21,17886.9395,18134.1104,17821.0272,18134.1104,748.0
2015-08-24,16914.7363,17458.5126,16890.0192,17458.5126,1506.0
2015-08-25,16230.8945,17178.3833,16066.1139,16066.1139,1628.0
2015-08-26,16560.4551,16708.7577,16313.2841,16478.0648,7524.0
2015-08-27,16799.3887,17219.5794,16758.1935,17219.5794,1254.0
2015-08-28,17269.0137,17623.2921,16955.9304,17623.2921,449.0
2015-08-31,17301.9707,17318.4488,16890.019,17219.5804,461.0
2015-09-01,16395.6738,17301.9674,16395.6738,17301.9674,640.0
2015-09-02,16313.2832,16675.8006,15843.6584,15843.6584,907.0
2015-09-03,16741.7148,17054.7981,16535.739,16560.4561,293.0
2015-09-04,16305.0488,16576.937,16049.6388,16576.937,678.0
2015-09-07,16395.6738,16568.6935,16074.3516,16181.459,201.0
2015-09-08,15645.9238,16403.9149,15637.6848,16403.9149,607.0
2015-09-09,16758.1973,16791.1534,16082.5964,16535.7433,1231.0
2015-09-10,16593.4121,16667.5634,16436.8705,16576.934,271.0
2015-09-11,16601.6523,16675.8036,16445.1107,16576.9352,41.0
2015-09-14,16593.4121,16716.9976,16593.4121,16626.3682,98.0
2015-09-15,16593.4121,16659.3244,16469.8266,16469.8266,29.0
2015-09-16,16379.1982,16634.6083,16313.286,16634.6083,157.0
2015-09-17,16428.6309,16618.1286,16346.2405,16618.1286,137.0
2015-09-18,16272.0879,16527.4979,16272.0879,16469.8247,241.0
2015-09-24,15777.751,16239.1369,15744.7948,16239.1369,327.0
2015-09-25,16008.4414,16099.0708,15753.0314,15810.7046,132.0
2015-09-28,15901.3301,16164.9791,15818.9398,16164.9791,95.0
2015-09-29,15003.2822,15901.337,14970.3261,15901.337,840.0
2015-09-30,15258.6914,15308.1256,15003.2813,15003.2813,246.0
2015-10-01,15415.2314,15439.9485,15168.0604,15250.4508,346.0
2015-10-02,15242.209,15456.4238,15201.0138,15456.4238,131.0
2015-10-05,15547.0537,15645.9221,15357.556,15357.556,144.0
2015-10-06,15571.7705,15835.4195,15497.6192,15695.356,372.0
2015-10-07,15472.9023,15769.5075,15398.7511,15769.5075,115.0
2015-10-08,15192.7764,15629.4451,15192.7764,15629.4451,423.0
2015-10-09,15357.5557,15398.7508,15168.0579,15233.9702,123.0
2015-10-13,15505.8613,15687.1201,15332.8416,15332.8416,231.0
2015-10-14,15406.9912,15505.8596,15406.9912,15505.8596,78.0
2015-10-15,15678.8799,15736.5531,15324.6015,15324.6015,173.0
2015-10-16,15917.8125,16066.1151,15818.9441,15818.9441,337.0
2015-10-19,16024.918,16066.1131,15942.5276,16066.1131,136.0
2015-10-20,15959.0068,16066.1143,15942.5288,16024.9191,155.0
2015-10-21,15942.5254,16057.8718,15901.3302,15967.2425,746.0
2015-10-22,15868.377,16066.1137,15818.9428,16066.1137,43.0
2015-10-23,15934.291,16066.1156,15876.6178,16066.1156,117.0
2015-10-26,16181.46,16313.2845,15975.4841,15975.4841,1036.0
2015-10-27,16255.6104,16296.8055,16148.5029,16296.8055,153.0
2015-10-28,16280.3291,16379.1975,16280.3291,16305.0462,55.0
2015-10-29,16543.9766,16609.8888,16338.0008,16453.3472,304.0
2015-10-30,17054.8008,17145.4302,16552.2197,16552.2197,898.0
2015-11-02,16651.084,16848.8208,16618.1279,16832.3427,149.0
2015-11-04,16799.3887,17063.0377,16799.3887,17063.0377,538.0
2015-11-05,16972.4102,17087.7566,16832.3466,16832.3466,247.0
2015-11-06,17161.9023,17203.0975,17095.9901,17104.2291,321.0
2015-11-09,17326.6875,17326.6875,17236.0581,17277.2533,890.0
2015-11-10,17483.2285,17483.2285,17343.165,17343.165,239.0
2015-11-11,17631.5273,17631.5273,17458.5077,17483.2248,370.0
2015-11-12,17549.1387,17672.7242,17549.1387,17672.7242,190.0
2015-11-13,17483.2285,17615.053,17483.2285,17549.1408,79.0
2015-11-16,17507.9453,17549.1405,17384.3598,17466.7501,191.0
2015-11-17,17524.4238,17648.0093,17507.9458,17532.6629,305.0
2015-11-18,17590.334,17779.8317,17582.095,17648.0072,499.0
2015-11-19,17878.7012,17919.8963,17672.7254,17672.7254,438.0
2015-11-20,17870.4629,17870.4629,17713.9213,17713.9213,35.0
2015-11-24,18027.0039,18027.0039,17878.7013,17878.7013,310.0
2015-11-25,17936.3711,17961.0882,17936.3711,17944.6101,200.0
2015-11-26,18125.8711,18315.3688,18043.4808,18043.4808,1309.0
2015-11-27,18092.916,18249.4576,18092.916,18249.4576,550.0
2015-11-30,17853.9824,18191.7827,17829.2653,18191.7827,578.0
2015-12-01,18035.2441,18035.2441,17845.7464,17853.9854,50.0
2015-12-02,18084.6777,18084.6777,18035.2435,18043.4826,96.0
2015-12-03,17994.0488,18084.6782,17985.8098,18035.244,122.0
2015-12-04,17730.3945,17903.4142,17713.9165,17804.5458,343.0
2015-12-07,17903.418,18035.2425,17821.0276,17821.0276,63.0
2015-12-08,17804.5508,18002.2876,17763.3556,18002.2876,119.0
2015-12-09,17516.1797,17804.5458,17466.7455,17796.3067,1808.0
2015-12-10,17301.9707,17301.9707,16997.1265,17301.9707,574.0
2015-12-11,17466.752,17549.1423,17301.9713,17301.9713,73.0
2015-12-14,17301.9707,17433.7952,17145.4291,17301.9707,136.0
2015-12-15,17301.9707,17466.7514,17301.9707,17301.9707,55.0
2015-12-16,17392.5977,17392.5977,17310.2073,17310.2073,23.0
2015-12-17,17837.5059,18125.872,17549.1397,17549.1397,328.0
2015-12-18,17969.332,18208.264,17845.7465,17878.7027,1141.0
2015-12-21,17746.877,17994.0479,17549.1402,17919.8966,480.0
2015-12-22,17788.0703,17788.0703,17713.919,17713.919,31.0
2015-12-24,17590.334,17952.8514,17573.8559,17952.8514,99.0
2015-12-25,17507.9453,17549.1405,17507.9453,17549.1405,96.0
2015-12-28,17499.7051,17549.1393,17433.7928,17433.7928,83.0
2015-12-29,17961.0918,18125.8725,17549.1402,17549.1402,832.0
2015-12-30,17845.7422,17961.0886,17713.9177,17961.0886,129.0
2016-01-04,17549.1387,17961.0903,17466.7483,17961.0903,190.0
2016-01-05,17211.3398,17565.6183,17178.3837,17565.6183,888.0
2016-01-06,17301.9707,17549.1417,17219.5804,17384.361,113.0
2016-01-07,17301.9707,17466.7514,17211.3413,17211.3413,83.0
2016-01-08,18109.3926,18859.1445,17178.3819,17178.3819,7145.0
2016-01-12,16881.7793,17384.3603,16815.867,17384.3603,4972.0
2016-01-13,16955.9258,17120.7064,16914.7306,17079.5112,311.0
2016-01-14,16568.6914,16972.4039,16164.9789,16972.4039,415.0
2016-01-15,16469.8262,16881.7778,16461.5871,16651.0849,152.0
2016-01-18,16132.0273,16395.6764,16074.3541,16247.3738,182.0
2016-01-19,16247.375,16395.6776,16239.136,16395.6776,182.0
2016-01-20,15942.5254,16395.6721,15629.4422,16247.3695,246.0
2016-01-21,15621.208,16074.3549,15621.208,15662.4032,133.0
2016-01-22,16148.5039,16148.5039,15670.64,15670.64,181.0
2016-01-25,16478.0684,16560.4587,16346.2438,16346.2438,32.0
2016-01-26,16412.1504,16445.1065,16239.1307,16239.1307,52.0
2016-01-27,16898.2559,16898.2559,16420.392,16420.392,338.0
2016-01-28,16667.5625,16890.0164,16642.8454,16890.0164,33.0
2016-01-29,16807.627,16873.5392,16469.8266,16642.8463,101.0
2016-02-01,17038.3203,17063.0374,16824.1055,16824.1055,511.0
2016-02-02,17540.9023,17631.5317,17021.8432,17021.8432,697.0
2016-02-03,17392.5977,17631.5296,17301.9683,17540.9002,113.0
2016-02-04,16964.166,17466.7469,16964.166,17466.7469,106.0
2016-02-05,16692.2812,16939.4522,16675.8032,16939.4522,216.0
2016-02-08,17046.5566,17054.7957,16684.0392,16692.2783,89.0
2016-02-09,16626.3691,16807.6279,16519.2617,16807.6279,112.0
2016-02-10,15662.4014,16568.695,15662.4014,16568.695,214.0
