Date,Close,High,Low,Open,Volume
2015-01-22,13334.6104,13334.6104,13334.6104,13334.6104,0.0
2015-01-23,13605.1934,13605.1934,13605.1934,13605.1934,0.0
2015-01-26,13354.0225,13354.0225,13354.0225,13354.0225,1.0
2015-01-27,13667.2969,13667.2969,13636.5838,13636.5838,8.0
2015-01-28,13698.0088,13698.0088,13698.0088,13698.0088,5.0
2015-01-29,13615.6357,13615.6357,13615.6357,13615.6357,0.0
2015-01-30,13538.2998,13538.2998,13538.2998,13538.2998,5.0
2015-02-02,13389.5264,13389.5264,13389.5264,13389.5264,0.0
2015-02-03,13550.5859,13968.2831,13550.5859,13968.2831,4.0
2015-02-04,13569.0146,13569.0146,13366.3087,13366.3087,6.0
2015-02-05,13487.8701,13487.8701,13487.8701,13487.8701,0.0
2015-02-06,13667.2969,13667.2969,13667.2969,13667.2969,29.0
2015-02-09,13974.4268,13974.4268,13974.4268,13974.4268,11.0
2015-02-10,13796.3506,13796.3506,13796.3506,13796.3506,0.0
2015-02-12,13851.5723,13851.5723,13851.5723,13851.5723,1.0
2015-02-13,13879.708,13879.708,13879.708,13879.708,0.0
2015-02-16,13986.3428,13986.3428,13986.3428,13986.3428,0.0
2015-02-17,14275.415,14281.5576,14005.1404,14005.1404,223.0
2015-02-18,14293.8398,14293.8398,14293.8398,14293.8398,12.0
2015-02-19,14373.6963,14373.6963,14349.1259,14349.1259,8.0
2015-02-20,14428.6699,14428.6699,14428.6699,14428.6699,0.0
2015-02-23,14490.4053,14527.2609,14490.4053,14527.2609,22.0
2015-02-24,14594.8281,14607.1133,14582.5429,14582.5429,14.0
2015-02-25,14637.8281,14711.5394,14637.8281,14711.5394,25.0
2015-02-26,14815.9609,14815.9609,14711.5367,14711.5367,19.0
2015-02-27,14908.1016,14932.672,14908.1016,14932.672,59.0
2015-03-02,14742.25,14858.9595,14729.9648,14858.9595,18.0
2015-03-03,14643.9678,14834.3885,14643.9678,14834.3885,103.0
2015-03-04,14625.542,14625.542,14619.3994,14619.3994,6.0
2015-03-05,14674.6816,14674.6816,14674.6816,14674.6816,1.0
2015-03-06,14693.1084,14693.1084,14693.1084,14693.1084,14.0
2015-03-09,14686.9668,14686.9668,14686.9668,14686.9668,1.0
2015-03-10,14481.4951,14481.4951,14481.4951,14481.4951,0.0
2015-03-11,14456.499,14456.499,14456.499,14456.499,0.0
2015-03-12,14573.2051,14573.2051,14573.2051,14573.2051,0.0
2015-03-13,14736.1074,14834.3891,14736.1074,14748.3926,12.0
2015-03-16,14619.3975,14619.3975,14619.3975,14619.3975,9.0
2015-03-17,14628.3662,14628.3662,14628.3662,14628.3662,0.0
2015-03-18,14576.4023,14576.4023,14576.4023,14576.4023,4.0
2015-03-19,14588.6875,14588.6875,14588.6875,14588.6875,3.0
2015-03-20,14498.8174,14498.8174,14498.8174,14498.8174,0.0
2015-03-23,14572.4082,14572.4082,14572.4082,14572.4082,0.0
2015-03-24,14565.8359,14565.8359,14565.8359,14565.8359,0.0
2015-03-25,14521.1191,14588.6878,14521.1191,14588.6878,143.0
2015-03-26,14465.8359,14502.6916,14459.6933,14502.6916,55.0
2015-03-27,14385.7969,14385.7969,14385.7969,14385.7969,0.0
2015-03-30,14299.9844,14299.9844,14299.9844,14299.9844,1.0
2015-03-31,14514.9775,14514.9775,14484.2645,14484.2645,57.0
2015-04-01,14061.7129,14061.7129,14061.7129,14061.7129,0.0
2015-04-02,14220.1299,14220.1299,14084.9926,14084.9926,13.0
2015-04-03,14066.5645,14066.5645,14066.5645,14066.5645,11.0
2015-04-06,14226.2725,14226.2725,14226.2725,14226.2725,1.0
2015-04-07,14441.2637,14441.2637,14275.4133,14275.4133,28.0
2015-04-08,14570.2588,14570.2588,14502.6901,14502.6901,9.0
2015-04-09,14478.1211,14570.2602,14478.1211,14570.2602,13.0
2015-04-10,14508.8311,14527.2589,14355.266,14355.266,87.0
2015-04-13,14465.3428,14465.3428,14465.3428,14465.3428,0.0
2015-04-14,14527.2607,14527.2607,14496.5477,14496.5477,200.0
2015-04-15,14569.9492,14569.9492,14569.9492,14569.9492,0.0
2015-04-16,14791.3926,14791.3926,14619.3996,14619.3996,401.0
2015-04-17,14994.0977,15012.5255,14803.6769,14834.3899,404.0
2015-04-20,14772.9648,14803.6779,14772.9648,14803.6779,15.0
2015-04-21,15061.666,15061.666,14815.9618,14815.9618,145.0
2015-04-22,14809.8174,15061.6641,14809.8174,15061.6641,74.0
2015-04-23,14889.6729,14951.0989,14889.6729,14926.5285,5.0
2015-04-24,14944.958,14944.958,14944.958,14944.958,0.0
2015-04-27,14889.6729,14889.6729,14889.6729,14889.6729,3.0
2015-04-28,14977.2656,14977.2656,14977.2656,14977.2656,0.0
2015-04-30,14711.5371,14809.8188,14711.5371,14809.8188,11.0
2015-05-01,14650.1123,14650.1123,14650.1123,14650.1123,5.0
2015-05-07,14729.9619,14729.9619,14637.8229,14637.8229,4.0
2015-05-08,14779.1064,14779.1064,14711.5378,14711.5378,6.0
2015-05-11,15049.3818,15141.5209,15049.3818,15141.5209,27.0
2015-05-12,15049.3818,15049.3818,14944.9576,14944.9576,20.0
2015-05-13,15356.5117,15356.5117,15098.5223,15098.5223,19.0
2015-05-14,15301.2266,15301.2266,15301.2266,15301.2266,3.0
2015-05-15,15330.5273,15330.5273,15330.5273,15330.5273,0.0
2015-05-18,15460.9336,15909.3437,15460.9336,15909.3437,61.0
2015-05-19,15571.1328,15571.1328,15571.1328,15571.1328,0.0
2015-05-20,15442.5059,15516.2171,15442.5059,15516.2171,16.0
2015-05-21,15559.2178,15559.2178,15559.2178,15559.2178,40.0
2015-05-22,15589.9287,15663.64,15589.9287,15614.4991,6.0
2015-05-25,15749.6377,15749.6377,15749.6377,15749.6377,1.0
2015-05-26,15798.7803,15798.7803,15798.7803,15798.7803,10.0
2015-05-27,16253.332,16253.332,15976.9148,15976.9148,17.0
2015-05-28,16198.0479,16867.5917,16185.7626,16867.5917,137.0
2015-05-29,16349.4004,16349.4004,16349.4004,16349.4004,0.0
2015-06-01,16376.1836,16382.3262,16376.1836,16382.3262,19.0
2015-06-02,16308.6113,16492.8894,16308.6113,16492.8894,176.0
2015-06-03,16621.8887,16621.8887,16308.6158,16308.6158,6.0
2015-06-04,16664.8867,16664.8867,16664.8867,16664.8867,5.0
2015-06-05,16437.5488,16437.5488,16437.5488,16437.5488,0.0
2015-06-08,16449.8945,16456.0371,16449.8945,16456.0371,4.0
2015-06-09,16026.0557,16210.3338,16026.0557,16210.3338,24.0
2015-06-10,16155.0508,16155.0508,15964.63,15964.63,7.0
2015-06-11,16259.4717,16259.4717,16259.4717,16259.4717,3.0
2015-06-12,16241.0449,16388.4674,16241.0449,16388.4674,9.0
2015-06-15,16118.1973,16136.6251,15983.0599,16001.4878,19.0
2015-06-16,16013.7695,16038.3399,15958.4861,16038.3399,15.0
2015-06-17,15854.0635,15952.3452,15761.9244,15952.3452,24.0
2015-06-18,15626.7842,15718.9232,15589.9286,15718.9232,16.0
2015-06-19,15651.3574,15817.2078,15651.3574,15817.2078,15.0
2015-06-22,15731.21,15731.21,15639.0709,15639.0709,54.0
2015-06-23,15927.7734,15927.7734,15675.9267,15675.9267,9.0
2015-06-24,16142.7666,16142.7666,16142.7666,16142.7666,1.0
2015-06-25,16064.2002,16064.2002,16064.2002,16064.2002,0.0
2015-06-26,15789.1348,15789.1348,15789.1348,15789.1348,0.0
2015-06-29,15399.5107,15534.6481,15399.5107,15473.222,39.0
2015-06-30,15215.2324,15331.9419,15202.9472,15331.9419,17.0
2015-07-01,15227.5166,15227.5166,15123.0923,15209.0888,18.0
2015-07-02,15153.8076,15350.371,15153.8076,15350.371,13.0
2015-07-03,15037.0947,15227.5155,15037.0947,15227.5155,12.0
2015-07-06,14858.96,14889.673,14828.2469,14889.673,17.0
2015-07-07,14895.8154,14895.8154,14895.8154,14895.8154,1.0
2015-07-08,14238.5566,14711.5372,14152.5602,14711.5372,46.0
2015-07-09,13968.2832,13968.2832,13538.3009,13777.8625,20.0
2015-07-10,14164.8467,14164.8467,14066.565,14066.565,13.0
2015-07-13,13992.8535,13998.9961,13962.1405,13998.9961,28.0
2015-07-14,14361.4092,14361.4092,14017.4233,14017.4233,3.0
2015-07-15,14581.7139,14758.4619,14581.7139,14758.4619,21.0
2015-07-16,14487.0283,14512.278,14487.0283,14512.278,7.0
2015-07-17,14480.7148,14594.3386,14480.7148,14594.3386,30.0
2015-07-21,14398.6523,14670.0868,14398.6523,14670.0868,38.0
2015-07-22,14461.7783,14461.7783,14461.7783,14461.7783,6.0
2015-07-23,14259.7793,14316.5912,14209.2799,14316.5912,61.0
2015-07-24,14051.4707,14190.3442,14051.4707,14190.3442,68.0
2015-07-27,14019.9082,14019.9082,13918.9093,13931.5342,50.0
2015-07-28,13742.1602,13950.4703,13742.1602,13950.4703,19.0
2015-07-29,13849.4697,14013.5929,13849.4697,14013.5929,13.0
2015-07-30,14392.3408,14392.3408,13988.3453,13988.3453,59.0
2015-07-31,14215.5928,14392.3408,14139.8436,14392.3408,27.0
2015-08-03,14070.4072,14215.5931,14070.4072,14215.5931,46.0
2015-08-04,13887.3467,14070.4072,13887.3467,14070.4072,8.0
2015-08-05,14064.0947,14064.0947,13912.5964,13912.5964,25.0
2015-08-06,14152.4688,14234.5303,14152.4688,14152.4688,7.0
2015-08-07,14266.0908,14278.7157,14076.7179,14076.7179,31.0
2015-08-10,14139.8418,14139.8418,14139.8418,14139.8418,12.0
2015-08-11,14512.2783,14613.2772,14404.967,14404.967,57.0
2015-08-12,14045.1572,14524.9019,13982.0329,14524.9019,88.0
2015-08-13,14000.9707,14057.7826,14000.9707,14057.7826,18.0
2015-08-14,13811.5967,14051.469,13811.5967,14051.469,31.0
2015-08-17,13855.7812,13855.7812,13855.7812,13855.7812,5.0
2015-08-18,13925.2207,13925.2207,13918.9083,13918.9083,12.0
2015-08-19,13729.5332,13893.6564,13729.5332,13893.6564,26.0
2015-08-20,13445.4756,13653.7858,13445.4756,13653.7858,53.0
2015-08-21,13167.7305,13249.7921,12814.2343,12814.2343,40.0
