Date,Close,High,Low,Open,Volume
2015-01-22,17547.1387,17547.1387,17547.1387,17547.1387,0.0
2015-01-23,17822.9863,17822.9863,17822.9863,17822.9863,0.0
2015-01-26,17770.6172,17820.8369,17569.7382,17569.7382,5.0
2015-01-27,17691.6973,17691.6973,17411.9016,17411.9016,16.0
2015-01-28,17716.0898,17716.0898,17716.0898,17716.0898,0.0
2015-01-29,17519.5156,17519.5156,17519.5156,17519.5156,50.0
2015-01-30,17648.6543,17648.6543,17576.9118,17576.9118,11.0
2015-02-02,17404.7266,17404.7266,17404.7266,17404.7266,1.0
2015-02-03,17605.6055,17605.6055,17569.7342,17576.9085,29.0
2015-02-04,18179.5469,18222.5924,18043.2361,18079.1074,399.0
2015-02-05,18201.0684,18201.0684,17906.9242,18007.3637,71.0
2015-02-06,18294.3359,18294.3359,18294.3359,18294.3359,40.0
2015-02-09,18193.8984,18272.8152,18143.6787,18222.5954,264.0
2015-02-10,18330.2051,18423.4703,18143.6746,18143.6746,179.0
2015-02-12,18401.9512,18423.4739,18272.8147,18423.4739,64.0
2015-02-13,18344.625,18344.625,18344.625,18344.625,0.0
2015-02-16,18653.0469,18653.0469,18473.6907,18473.6907,31.0
2015-02-17,18775.0098,18846.7523,18667.396,18667.396,124.0
2015-02-18,18889.7988,18889.7988,18832.4048,18832.4048,196.0
2015-02-19,18940.0195,18940.0195,18861.1028,18940.0195,501.0
2015-02-20,18975.8887,18975.8887,18975.8887,18975.8887,10.0
2015-02-23,19018.9355,19083.5038,18983.0643,19061.981,24.0
2015-02-24,19083.5,19083.5,19076.3258,19076.3258,40.0
2015-02-25,19148.0703,19155.2446,19133.7218,19133.7218,77.0
2015-02-26,19198.2891,19255.6831,19162.4178,19255.6831,39.0
2015-02-27,19384.8223,19492.436,19348.951,19348.951,117.0
2015-03-02,19571.3516,19614.3971,19478.0863,19564.1773,148.0
2015-03-03,19442.2168,19621.573,19341.7773,19621.573,146.0
2015-03-04,19470.9121,19499.6091,19449.3894,19499.6091,82.0
2015-03-05,19513.959,19549.8302,19363.2997,19363.2997,120.0
