Date,Close,High,Low,Open,Volume
2015-01-16,1.815,1.831,1.7,1.715,0.0
2015-01-20,1.807,1.827,1.761,1.827,0.0
2015-01-21,1.853,1.863,1.773,1.798,0.0
2015-01-22,1.896,1.953,1.812,1.939,0.0
2015-01-23,1.817,1.847,1.801,1.82,0.0
2015-01-26,1.828,1.842,1.796,1.804,0.0
2015-01-27,1.825,1.83,1.75,1.794,0.0
2015-01-28,1.724,1.828,1.721,1.823,0.0
2015-01-29,1.751,1.785,1.738,1.746,0.0
2015-01-30,1.675,1.707,1.651,1.702,0.0
2015-02-02,1.673,1.712,1.654,1.674,0.0
2015-02-03,1.78,1.785,1.717,1.717,0.0
2015-02-04,1.797,1.846,1.783,1.821,0.0
2015-02-05,1.815,1.829,1.788,1.8,0.0
2015-02-06,1.938,1.953,1.805,1.818,0.0
2015-02-09,1.948,1.95,1.903,1.922,0.0
2015-02-10,1.991,2.016,1.969,2.014,0.0
2015-02-11,1.988,2.025,1.97,1.983,0.0
2015-02-12,1.986,2.04,1.959,2.033,0.0
2015-02-13,2.021,2.026,1.995,2.007,0.0
2015-02-17,2.145,2.152,2.016,2.028,0.0
2015-02-18,2.066,2.136,2.043,2.133,0.0
2015-02-19,2.113,2.122,2.059,2.092,0.0
2015-02-20,2.133,2.142,2.045,2.078,0.0
2015-02-23,2.059,2.112,2.056,2.112,0.0
2015-02-24,1.988,2.108,1.977,2.075,0.0
2015-02-25,1.969,2.0,1.962,1.972,0.0
2015-02-26,2.016,2.021,1.931,1.939,0.0
2015-02-27,2.002,2.049,2.0,2.024,0.0
2015-03-02,2.084,2.086,2.005,2.014,0.0
2015-03-03,2.122,2.124,2.077,2.1,0.0
2015-03-04,2.123,2.131,2.112,2.128,0.0
2015-03-05,2.112,2.147,2.096,2.135,0.0
2015-03-06,2.24,2.259,2.105,2.11,0.0
2015-03-09,2.195,2.218,2.192,2.215,0.0
2015-03-10,2.126,2.16,2.117,2.158,0.0
2015-03-11,2.109,2.16,2.098,2.151,0.0
2015-03-12,2.096,2.123,2.042,2.088,0.0
2015-03-13,2.112,2.133,2.086,2.107,0.0
2015-03-16,2.098,2.105,2.065,2.093,0.0
2015-03-17,2.058,2.072,2.038,2.051,0.0
2015-03-18,1.951,2.054,1.944,2.026,0.0
2015-03-19,1.977,1.989,1.925,1.937,0.0
2015-03-20,1.93,1.958,1.927,1.956,0.0
2015-03-23,1.915,1.939,1.909,1.916,0.0
2015-03-24,1.878,1.92,1.87,1.903,0.0
2015-03-25,1.92,1.923,1.852,1.864,0.0
2015-03-26,2.007,2.009,1.922,1.925,0.0
2015-03-27,1.948,1.986,1.944,1.984,0.0
2015-03-30,1.963,1.974,1.941,1.965,0.0
2015-03-31,1.934,1.968,1.928,1.939,0.0
2015-04-01,1.868,1.897,1.852,1.892,0.0
2015-04-02,1.904,1.909,1.855,1.857,0.0
2015-04-06,1.904,1.911,1.843,1.845,0.0
2015-04-07,1.893,1.928,1.887,1.913,0.0
2015-04-08,1.895,1.925,1.881,1.892,0.0
2015-04-09,1.958,1.965,1.878,1.88,0.0
2015-04-10,1.951,1.956,1.919,1.942,0.0
2015-04-13,1.939,1.972,1.933,1.972,0.0
2015-04-14,1.904,1.925,1.855,1.918,0.0
2015-04-15,1.9,1.918,1.872,1.914,0.0
2015-04-16,1.878,1.926,1.871,1.881,0.0
2015-04-17,1.85,1.911,1.845,1.858,0.0
