Date,Influencer_Sentiment,Sample_Title
2023-01-02,-0.0499999999999999,【1/2、日本株の暴落いつまで続くねん！！】円高加速でドル円急落。日経平均先物の下落か止まらない！！日銀金融緩和修正、業績リスク。米国株、ナスダックも弱すぎや！！
2023-01-03,-0.7,"【1/3、日本株年始から急落なんか⁉】円高加速で日経平均先物26,000円割れ。円安関連銘柄の下げ幅加速か？米国株、ナスダック先物上昇。欧州株がしっかり。日銀緩和修正リスクに警戒。"
2023-01-04,-0.9,"【1/4、日本株の急落が止まらんぞ！！】ご祝儀相場で円高加速。日経平均先物26,000円割れ。円安関連銘柄の下げ幅加速。アップル、テスラ急落で米国株、ナスダック下げ幅拡大。"
2023-01-05,-0.4499999999999999,【1/5、日本株の急落これで止まるんか⁉】アレが壊滅で全く安心できへん！！異次元の増税始まる？FOMC通過で米国株、半導体株上昇。ドル円上昇で円安関連銘柄買い戻し。日経平均重要ライン割ったらヤバいで。
2023-01-06,0.7,【1/6、日本株あの最悪ライン死守してくれ！！】日銀緩和修正懸念後退でドル円上昇。半導体、円安関連上昇。米国株、ナスダックは下落したのに日経平均強い。
2023-01-07,0.4,【1/8、ドル円急落で日本株上昇来るんか⁉】予想外の金利急落で米国株、ナスダックが急伸。半導体株爆騰で日経平均主力株上昇か？雇用統計改善、ISM悪化の上昇には若干違和感あり。
2023-01-08,0.7,【日本株爆益戦略②】大暴落をチャンスに変えるで！！FX、米国株、仮想通貨、日経平均なんでも応用可能。期待値高い超絶テクニカルパターン！！
2023-01-09,0.4,【1/9.日本株、最悪ケース脱出なるか⁉】金利急落で米国株、ナスダック急反発。夏場にQE再開の情報。円高進行で日経平均の上昇限定的？ソフトバンクG、アーム材料どう反応する？頼むから上がってくれ！！
2023-01-10,0.7,【1/10.日本株〇〇通過で暴落終了か？】金利急落で米国株、ナスダック急反発。ソフトバンクG、アーム材料で上昇。日経平均寄与銘柄が上昇や！！半導体株も大幅反発。CPI来るぞ‼︎
2023-01-11,0.7,【1/11.CPI発表前夜】日本株最悪期ついに脱出か？安川決算受け半導体、グロース株上昇。日経平均寄与度上位銘柄が強い。円高リスク再燃だとまずい。米国株、ナスダックは金利低下で反発中。
2023-01-12,0.8,【1/12、CPIついに発表！！】日本株の上昇ついに始まる⁉金利低下で米国株、ナスダック上昇。日銀金融政策点検報道で円高加速。銀行株、半導体株が強い。日経平均上げてくれ！！
2023-01-13,-0.7,【1/13、日本株急落止まらんぞ！！】CPI通過で円高加速がキツイ。ファストリ急落で日経平均下落。米国株、ナスダックは金利低下で上昇。半導体株大幅高。日本と米国で優位性変化続く。
2023-01-14,-0.8,"【1/14、円高加速と〇〇悪化で日本株がヤバいぞ！！】日銀リスクでドル円急落、日経平均先物26,000割れ。ファストリ急落、円安関連銘柄がマズイ。銀行株が強い米国株、ナスダックは金利低下で上昇。"
2023-01-16,-0.8,【1/16、円高加速で日本株急落止まらんぞ！！】日銀政策修正リスクで日経平均がヤバい！！。円安関連銘柄が全面安。金利低下で米国株、ナスダックは大幅。仮想通貨ビットコイン急騰。
2023-01-17,0.1,【1/17、日本株の大復活始まれ！！】日銀政策修正リスク乗り越え日経平均あのライン死守か。円高加速で暴落か。運命の大一番。米国株、ナスダックは上昇継続。
2023-01-18,0.7,【1/18、日銀金融政策維持で円安加速、日本株大幅高！！】ドル円急騰で日経平均急伸。銀行株は大幅安から買戻し。米国株はゴールドマン急落で下落。ナスダックは上昇や！！
2023-01-19,-0.5,【日本株で稼ぐ手法‼︎】日銀金融政策維持なのにドル円急落で日経平均下落。銀行株も下落。米国株が業績相場以降で大幅安。ナスダック、半導体株は金利低下で上がる？
2023-01-20,0.7,【日本株で稼ぐ手法‼︎】ドル円上昇で円安関連、インバウンド関連も強い。日経平均の優位性増す。日銀金融緩和維持。米国株、ナスダックは景気後退、業績リスクでどうなる？
2023-01-21,0.8,【1/22、日本株の大復活始まる⁉︎】ドル円上昇で日経平均上昇継続。インバウンド関連が強い。黒田総裁金融緩和維持。米国株、ナスダックは大幅高。ネットフリックス急騰で半導体、グロース株が強い！！
2023-01-22,0.8,【日本株で稼ぐ手法‼︎】ドル円上昇で日経平均上昇継続。インバウンド関連がまだ上がるか⁉日銀緩和修正維持もまだ不確定要素満載。米国株ナスダック、仮想通貨ビットコインも強いぞ！！
2023-01-23,0.7,【1/23、日本株これを超えたら強い！！】ドル円上昇で日経平均上昇続く？日銀、業績、需給リスクが重し。米国株、ナスダック上昇継続はGAFAM決算次第。仮想通貨ビットコインも大幅高。
2023-01-24,0.75,【日本株で稼ぐ手法‼︎】○○次第で日経平均動くぞ！！日本電産下方修正でPTS大幅安。米国株、ナスダック、半導体株急上昇。あとはGAFAM決算次第や！！円安加速も一服か⁉
2023-01-25,0.1,【日本株で稼ぐ手法‼︎】日本電産急落で業績リスク警戒！！日経平均上昇続くのか？マイクロソフト決算で米国株、ナスダック、半導体株どうなる？GAFAM決算で動くぞ！！
2023-01-26,0.2,【1/26、株式市場一斉売りの舞台整う⁉】業績相場で日本株上昇続くのか？日経平均が円高進行で調整。米国株、ナスダックはマイクロソフト決算で乱高下。アマゾン、アップル、アマゾンの決算で状況変わるぞ！！
2023-01-27,0.4,【負けにくい投資戦略】米国株、ナスダック上げてるのに日経平均弱すぎや。海運株も急落でキツイ。テスラ急騰でGAFAM全面高。アップル、アルファベット、アマゾン決算で状況一変か⁉
2023-01-28,-0.2,【1/28、日本株下落再開か⁉】日米オランダが半導体対中輸出規制強化。日経平均は２月警戒。米国株、ナスダックはアマゾン、アップル、アルファベット決算次第で動くぞ！！円高トレンドは続く？
2023-01-29,0.3,【投資で含み損を取り返す手法】日米オランダが半導体対中輸出規制強化で日経平均2018年相場再来⁉米国株、ナスダックはアマゾン、アップル、アルファベット決算次第で動くぞ！！
2023-01-30,-0.0499999999999999,【投資初心者必見】日本株の上昇まだ続く⁉5月に急落開始か？日米オランダが半導体対中輸出規制強化で日経平均上値重い⁉米国株、ナスダックはアマゾン、アップル、アルファベット決算次第で動くぞ！！
2023-01-31,-0.75,【日本株で稼ぐ手法】レーザーテック決算後急落。サムスン電子も大幅減益。対中半導体規制、日銀リスクで日経平均重い。米国株、ナスダックもGAFAＭ決算次第や！！
